day_type,hour_of_day,category,item,qty_active
April,17,C,Ceiling Fan,1.0
April,17,Misc,Hospital,1.0
April,17,Misc,Street Light,10.0
April,17,Misc,Cold Storage,3.0
April,17,Misc,School,0.0
April,17,Misc,Others,0.4
April,18,A,LED Light,5.0
April,18,A,Ceiling Fan,3.0
April,18,A,Television,1.0
April,18,A,Iron,0.0
April,18,A,Refrigerator,0.25
April,18,A,Washing Machine,0.0
April,18,B,LED Light,3.0
April,18,B,Ceiling Fan,2.0
April,18,B,Television,1.0
April,18,B,Iron,0.0
April,18,B,Refrigerator,0.25
April,18,C,LED Light,2.0
April,18,C,Ceiling Fan,1.0
April,18,Misc,Hospital,1.0
April,18,Misc,Street Light,25.0
April,18,Misc,Cold Storage,3.0
April,18,Misc,School,0.0
April,18,Misc,Others,0.4
April,19,A,LED Light,5.0
April,19,A,Ceiling Fan,3.0
April,19,A,Television,1.0
April,19,A,Iron,0.0
April,19,A,Refrigerator,0.25
April,19,A,Washing Machine,0.0
April,19,B,LED Light,3.0
April,19,B,Ceiling Fan,2.0
April,19,B,Television,1.0
April,19,B,Iron,0.0
April,19,B,Refrigerator,0.25
April,19,C,LED Light,1.0
April,19,C,Ceiling Fan,1.0
April,19,Misc,Hospital,1.0
April,19,Misc,Street Light,40.0
April,19,Misc,Cold Storage,3.0
April,19,Misc,School,0.0
April,19,Misc,Others,0.3
April,20,A,LED Light,5.0
April,20,A,Ceiling Fan,3.0
April,20,A,Television,1.0
April,20,A,Iron,0.0
April,20,A,Refrigerator,0.25
April,20,A,Washing Machine,0.0
April,20,B,LED Light,3.0
April,20,B,Ceiling Fan,2.0
April,20,B,Television,1.0
April,20,B,Iron,0.0
April,20,B,Refrigerator,0.25
April,20,C,LED Light,1.0
April,20,C,Ceiling Fan,1.0
April,20,Misc,Hospital,1.0
April,20,Misc,Street Light,50.0
April,20,Misc,Cold Storage,1.0
April,20,Misc,School,0.0
April,20,Misc,Others,0.3
April,21,A,LED Light,3.0
April,21,A,Ceiling Fan,3.0
April,21,A,Television,1.0
April,21,A,Iron,0.0
April,21,A,Refrigerator,0.25
April,21,A,Washing Machine,0.0
April,21,B,LED Light,3.0
April,21,B,Ceiling Fan,2.0
April,21,B,Television,1.0
April,21,B,Iron,0.0
April,21,B,Refrigerator,0.25
April,21,C,LED Light,1.0
April,21,C,Ceiling Fan,1.0
April,21,Misc,Hospital,0.7
April,21,Misc,Street Light,50.0
April,21,Misc,Cold Storage,1.0
April,21,Misc,School,0.0
April,21,Misc,Others,0.2
April,22,A,LED Light,3.0
April,22,A,Ceiling Fan,2.0
April,22,A,Television,0.0
April,22,A,Iron,0.0
April,22,A,Refrigerator,0.25
April,22,A,Washing Machine,0.0
April,22,B,LED Light,3.0
April,22,B,Ceiling Fan,2.0
April,22,B,Television,0.0
April,22,B,Iron,0.0
April,22,B,Refrigerator,0.25
April,22,C,LED Light,0.0
April,22,C,Ceiling Fan,1.0
April,22,Misc,Hospital,0.7
April,22,Misc,Street Light,50.0
April,22,Misc,Cold Storage,1.0
April,22,Misc,School,0.0
April,22,Misc,Others,0.2
April,23,A,LED Light,3.0
April,23,A,Ceiling Fan,2.0
April,23,A,Television,0.0
April,23,A,Iron,0.0
April,23,A,Refrigerator,0.25
April,23,A,Washing Machine,0.0
April,23,B,LED Light,3.0
April,23,B,Ceiling Fan,2.0
April,23,B,Television,0.0
April,23,B,Iron,0.0
April,23,B,Refrigerator,0.25
April,23,C,LED Light,0.0
April,23,C,Ceiling Fan,1.0
April,23,Misc,Hospital,0.7
April,23,Misc,Street Light,50.0
April,23,Misc,Cold Storage,1.0
April,23,Misc,School,0.0
April,23,Misc,Others,0.2
May,0,A,LED Light,2.0
May,0,A,Ceiling Fan,3.0
May,0,A,Television,0.0
May,0,A,Iron,0.0
May,0,A,Refrigerator,0.25
May,0,A,Washing Machine,0.0
May,0,B,LED Light,1.0
May,0,B,Ceiling Fan,2.0
May,0,B,Television,0.0
May,0,B,Iron,0.0
May,0,B,Refrigerator,0.25
May,0,C,LED Light,0.0
May,0,C,Ceiling Fan,1.0
May,0,Misc,Hospital,0.7
May,0,Misc,Street Light,35.0
May,0,Misc,Cold Storage,2.0
May,0,Misc,School,0.0
May,0,Misc,Others,0.2
May,1,A,LED Light,2.0
May,1,A,Ceiling Fan,3.0
May,1,A,Television,0.0
May,1,A,Iron,0.0
May,1,A,Refrigerator,0.25
May,1,A,Washing Machine,0.0
May,1,B,LED Light,1.0
May,1,B,Ceiling Fan,2.0
May,1,B,Television,0.0
May,1,B,Iron,0.0
May,1,B,Refrigerator,0.25
May,1,C,LED Light,0.0
May,1,C,Ceiling Fan,1.0
May,1,Misc,Hospital,0.7
May,1,Misc,Street Light,35.0
May,1,Misc,Cold Storage,2.0
May,1,Misc,School,0.0
May,1,Misc,Others,0.2
May,2,A,LED Light,2.0
May,2,A,Ceiling Fan,3.0
May,2,A,Television,0.0
May,2,A,Iron,0.0
May,2,A,Refrigerator,0.25
May,2,A,Washing Machine,0.0
May,2,B,LED Light,1.0
May,2,B,Ceiling Fan,2.0
May,2,B,Television,0.0
May,2,B,Iron,0.0
May,2,B,Refrigerator,0.25
May,2,C,LED Light,0.0
May,2,C,Ceiling Fan,1.0
May,2,Misc,Hospital,0.7
May,2,Misc,Street Light,35.0
May,2,Misc,Cold Storage,2.0
May,2,Misc,School,0.0
May,2,Misc,Others,0.2
May,3,A,LED Light,1.0
May,3,A,Ceiling Fan,2.0
May,3,A,Television,0.0
May,3,A,Iron,0.0
May,3,A,Refrigerator,0.25
May,3,A,Washing Machine,0.0
May,3,B,LED Light,0.0
May,3,B,Ceiling Fan,2.0
May,3,B,Television,0.0
May,3,B,Iron,0.0
May,3,B,Refrigerator,0.25
May,3,C,LED Light,0.0
May,3,C,Ceiling Fan,1.0
May,3,Misc,Hospital,0.7
May,3,Misc,Street Light,20.0
May,3,Misc,Cold Storage,4.0
May,3,Misc,School,0.0
May,3,Misc,Others,0.2
May,4,A,LED Light,1.0
May,4,A,Ceiling Fan,2.0
May,4,A,Television,0.0
May,4,A,Iron,0.0
May,4,A,Refrigerator,0.25
May,4,A,Washing Machine,0.0
May,4,B,LED Light,0.0
May,4,B,Ceiling Fan,1.0
May,4,B,Television,0.0
May,4,B,Iron,0.0
May,4,B,Refrigerator,0.25
May,4,C,LED Light,0.0
May,4,C,Ceiling Fan,1.0
May,4,Misc,Hospital,0.7
May,4,Misc,Street Light,10.0
May,4,Misc,Cold Storage,4.0
May,4,Misc,School,0.0
May,4,Misc,Others,0.2
May,5,A,LED Light,1.0
May,5,A,Ceiling Fan,3.0
May,5,A,Television,0.0
May,5,A,Iron,0.0
May,5,A,Refrigerator,0.25
May,5,A,Washing Machine,0.0
May,5,B,LED Light,0.0
May,5,B,Ceiling Fan,1.0
May,5,B,Television,0.0
May,5,B,Iron,0.0
May,5,B,Refrigerator,0.25
May,5,C,LED Light,1.0
May,5,C,Ceiling Fan,1.0
May,5,Misc,Hospital,0.7
May,5,Misc,Street Light,5.0
May,5,Misc,Cold Storage,4.0
May,5,Misc,School,0.0
May,5,Misc,Others,0.2
May,6,A,LED Light,1.0
May,6,A,Ceiling Fan,2.0
May,6,A,Television,1.0
May,6,A,Iron,0.0
May,6,A,Refrigerator,0.25
May,6,A,Washing Machine,0.0
May,6,B,LED Light,0.0
May,6,B,Ceiling Fan,1.0
May,6,B,Television,1.0
May,6,B,Iron,0.0
May,6,B,Refrigerator,0.25
May,6,C,LED Light,0.0
May,6,C,Ceiling Fan,1.0
May,6,Misc,Hospital,0.7
May,6,Misc,Street Light,0.0
May,6,Misc,Cold Storage,4.0
May,6,Misc,School,1.0
May,6,Misc,Others,0.2
May,7,A,LED Light,1.0
May,7,A,Ceiling Fan,2.0
May,7,A,Television,1.0
May,7,A,Iron,0.0
May,7,A,Refrigerator,0.25
May,7,A,Washing Machine,0.0
May,7,B,LED Light,0.0
May,7,B,Ceiling Fan,1.0
May,7,B,Television,1.0
May,7,B,Iron,0.0
May,7,B,Refrigerator,0.25
May,7,C,LED Light,0.0
May,7,C,Ceiling Fan,1.0
May,7,Misc,Hospital,1.0
May,7,Misc,Street Light,0.0
May,7,Misc,Cold Storage,4.0
May,7,Misc,School,1.0
May,7,Misc,Others,1.0
May,8,A,LED Light,2.0
May,8,A,Ceiling Fan,2.0
May,8,A,Television,1.0
May,8,A,Iron,0.0
May,8,A,Refrigerator,0.25
May,8,A,Washing Machine,0.0
May,8,B,LED Light,1.0
May,8,B,Ceiling Fan,2.0
May,8,B,Television,1.0
May,8,B,Iron,0.0
May,8,B,Refrigerator,0.25
May,8,C,LED Light,0.0
May,8,C,Ceiling Fan,1.0
May,8,Misc,Hospital,1.0
May,8,Misc,Street Light,0.0
May,8,Misc,Cold Storage,4.0
May,8,Misc,School,1.0
May,8,Misc,Others,1.0
May,9,A,LED Light,2.0
May,9,A,Ceiling Fan,2.0
May,9,A,Television,1.0
May,9,A,Iron,0.0
May,9,A,Refrigerator,0.25
May,9,A,Washing Machine,0.0
May,9,B,LED Light,1.0
May,9,B,Ceiling Fan,2.0
May,9,B,Television,1.0
May,9,B,Iron,0.0
May,9,B,Refrigerator,0.25
May,9,C,LED Light,0.0
May,9,C,Ceiling Fan,1.0
May,9,Misc,Hospital,1.0
May,9,Misc,Street Light,0.0
May,9,Misc,Cold Storage,4.0
May,9,Misc,School,1.0
May,9,Misc,Others,1.0
May,10,A,LED Light,2.0
May,10,A,Ceiling Fan,2.0
May,10,A,Television,1.0
May,10,A,Iron,0.0
May,10,A,Refrigerator,0.25
May,10,A,Washing Machine,0.0
May,10,B,LED Light,1.0
May,10,B,Ceiling Fan,2.0
May,10,B,Television,1.0
May,10,B,Iron,0.0
May,10,B,Refrigerator,0.25
May,10,C,LED Light,1.0
May,10,C,Ceiling Fan,1.0
May,10,Misc,Hospital,1.0
May,10,Misc,Street Light,0.0
May,10,Misc,Cold Storage,4.0
May,10,Misc,School,1.0
May,10,Misc,Others,1.0
May,11,A,LED Light,2.0
May,11,A,Ceiling Fan,2.0
May,11,A,Television,1.0
May,11,A,Iron,0.0
May,11,A,Refrigerator,0.25
May,11,A,Washing Machine,0.0
May,11,B,LED Light,1.0
May,11,B,Ceiling Fan,2.0
May,11,B,Television,1.0
May,11,B,Iron,0.0
May,11,B,Refrigerator,0.25
May,11,C,LED Light,1.0
May,11,C,Ceiling Fan,1.0
May,11,Misc,Hospital,1.0
May,11,Misc,Street Light,0.0
May,11,Misc,Cold Storage,4.0
May,11,Misc,School,0.75
May,11,Misc,Others,1.0
May,12,A,LED Light,2.0
May,12,A,Ceiling Fan,3.0
May,12,A,Television,0.0
May,12,A,Iron,0.0
May,12,A,Refrigerator,0.25
May,12,A,Washing Machine,0.0
May,12,B,LED Light,1.0
May,12,B,Ceiling Fan,2.0
May,12,B,Television,0.0
May,12,B,Iron,0.0
May,12,B,Refrigerator,0.25
May,12,C,LED Light,1.0
May,12,C,Ceiling Fan,1.0
May,12,Misc,Hospital,1.0
May,12,Misc,Street Light,0.0
May,12,Misc,Cold Storage,4.0
May,12,Misc,School,1.0
May,12,Misc,Others,1.0
May,13,A,LED Light,2.0
May,13,A,Ceiling Fan,3.0
May,13,A,Television,0.0
May,13,A,Iron,0.0
May,13,A,Refrigerator,0.25
May,13,A,Washing Machine,0.0
May,13,B,LED Light,1.0
May,13,B,Ceiling Fan,2.0
May,13,B,Television,0.0
May,13,B,Iron,0.0
May,13,B,Refrigerator,0.25
May,13,C,LED Light,1.0
May,13,C,Ceiling Fan,1.0
May,13,Misc,Hospital,1.0
May,13,Misc,Street Light,0.0
May,13,Misc,Cold Storage,4.0
May,13,Misc,School,1.0
May,13,Misc,Others,1.0
May,14,A,LED Light,2.0
May,14,A,Ceiling Fan,3.0
May,14,A,Television,0.0
May,14,A,Iron,0.0
May,14,A,Refrigerator,0.25
May,14,A,Washing Machine,0.0
May,14,B,LED Light,1.0
May,14,B,Ceiling Fan,2.0
May,14,B,Television,0.0
May,14,B,Iron,0.0
May,14,B,Refrigerator,0.25
May,14,C,LED Light,1.0
May,14,C,Ceiling Fan,1.0
May,14,Misc,Hospital,1.0
May,14,Misc,Street Light,0.0
May,14,Misc,Cold Storage,3.0
May,14,Misc,School,0.5
May,14,Misc,Others,1.0
May,15,A,LED Light,3.0
May,15,A,Ceiling Fan,3.0
May,15,A,Television,0.0
May,15,A,Iron,0.0
May,15,A,Refrigerator,0.25
May,15,A,Washing Machine,0.0
May,15,B,LED Light,2.0
May,15,B,Ceiling Fan,2.0
May,15,B,Television,0.0
May,15,B,Iron,1.0
May,15,B,Refrigerator,0.25
May,15,C,LED Light,1.0
May,15,C,Ceiling Fan,1.0
May,15,Misc,Hospital,1.0
May,15,Misc,Street Light,0.0
May,15,Misc,Cold Storage,3.0
May,15,Misc,School,0.5
May,15,Misc,Others,1.0
May,16,A,LED Light,3.0
May,16,A,Ceiling Fan,3.0
May,16,A,Television,1.0
May,16,A,Iron,0.0
May,16,A,Refrigerator,0.25
May,16,A,Washing Machine,0.0
May,16,B,LED Light,2.0
May,16,B,Ceiling Fan,2.0
May,16,B,Television,1.0
May,16,B,Iron,0.0
May,16,B,Refrigerator,0.25
May,16,C,LED Light,1.0
May,16,C,Ceiling Fan,1.0
May,16,Misc,Hospital,1.0
May,16,Misc,Street Light,5.0
May,16,Misc,Cold Storage,3.0
May,16,Misc,School,0.0
May,16,Misc,Others,1.0
May,17,A,LED Light,3.0
May,17,A,Ceiling Fan,3.0
May,17,A,Television,1.0
May,17,A,Iron,0.0
May,17,A,Refrigerator,0.25
May,17,A,Washing Machine,0.0
May,17,B,LED Light,2.0
May,17,B,Ceiling Fan,2.0
May,17,B,Television,1.0
May,17,B,Iron,0.0
May,17,B,Refrigerator,0.25
May,17,C,LED Light,2.0
May,17,C,Ceiling Fan,1.0
May,17,Misc,Hospital,1.0
May,17,Misc,Street Light,10.0
May,17,Misc,Cold Storage,3.0
May,17,Misc,School,0.0
May,17,Misc,Others,0.4
May,18,A,LED Light,5.0
May,18,A,Ceiling Fan,3.0
May,18,A,Television,1.0
May,18,A,Iron,0.0
May,18,A,Refrigerator,0.25
May,18,A,Washing Machine,0.0
May,18,B,LED Light,3.0
May,18,B,Ceiling Fan,2.0
May,18,B,Television,1.0
May,18,B,Iron,0.0
May,18,B,Refrigerator,0.25
May,18,C,LED Light,2.0
May,18,C,Ceiling Fan,1.0
May,18,Misc,Hospital,1.0
May,18,Misc,Street Light,25.0
May,18,Misc,Cold Storage,3.0
May,18,Misc,School,0.0
May,18,Misc,Others,0.4
May,19,A,LED Light,5.0
May,19,A,Ceiling Fan,3.0
May,19,A,Television,1.0
May,19,A,Iron,0.0
May,19,A,Refrigerator,0.25
May,19,A,Washing Machine,0.0
May,19,B,LED Light,3.0
May,19,B,Ceiling Fan,2.0
May,19,B,Television,1.0
May,19,B,Iron,0.0
May,19,B,Refrigerator,0.25
May,19,C,LED Light,1.0
May,19,C,Ceiling Fan,1.0
May,19,Misc,Hospital,1.0
May,19,Misc,Street Light,40.0
May,19,Misc,Cold Storage,3.0
May,19,Misc,School,0.0
May,19,Misc,Others,0.3
May,20,A,LED Light,5.0
May,20,A,Ceiling Fan,3.0
May,20,A,Television,1.0
May,20,A,Iron,0.0
May,20,A,Refrigerator,0.25
May,20,A,Washing Machine,0.0
May,20,B,LED Light,3.0
May,20,B,Ceiling Fan,2.0
May,20,B,Television,1.0
May,20,B,Iron,0.0
May,20,B,Refrigerator,0.25
May,20,C,LED Light,1.0
May,20,C,Ceiling Fan,1.0
May,20,Misc,Hospital,1.0
May,20,Misc,Street Light,50.0
May,20,Misc,Cold Storage,1.0
May,20,Misc,School,0.0
May,20,Misc,Others,0.3
May,21,A,LED Light,3.0
May,21,A,Ceiling Fan,3.0
May,21,A,Television,1.0
May,21,A,Iron,0.0
May,21,A,Refrigerator,0.25
May,21,A,Washing Machine,0.0
May,21,B,LED Light,3.0
May,21,B,Ceiling Fan,2.0
May,21,B,Television,1.0
May,21,B,Iron,0.0
May,21,B,Refrigerator,0.25
May,21,C,LED Light,1.0
May,21,C,Ceiling Fan,1.0
May,21,Misc,Hospital,0.7
May,21,Misc,Street Light,50.0
May,21,Misc,Cold Storage,1.0
May,21,Misc,School,0.0
May,21,Misc,Others,0.2
May,22,A,LED Light,3.0
May,22,A,Ceiling Fan,2.0
May,22,A,Television,0.0
May,22,A,Iron,0.0
May,22,A,Refrigerator,0.25
May,22,A,Washing Machine,0.0
May,22,B,LED Light,3.0
May,22,B,Ceiling Fan,2.0
May,22,B,Television,0.0
May,22,B,Iron,0.0
May,22,B,Refrigerator,0.25
May,22,C,LED Light,0.0
May,22,C,Ceiling Fan,1.0
May,22,Misc,Hospital,0.7
May,22,Misc,Street Light,50.0
May,22,Misc,Cold Storage,1.0
May,22,Misc,School,0.0
May,22,Misc,Others,0.2
May,23,A,LED Light,3.0
May,23,A,Ceiling Fan,2.0
May,23,A,Television,0.0
May,23,A,Iron,0.0
May,23,A,Refrigerator,0.25
May,23,A,Washing Machine,0.0
May,23,B,LED Light,3.0
May,23,B,Ceiling Fan,2.0
May,23,B,Television,0.0
May,23,B,Iron,0.0
May,23,B,Refrigerator,0.25
May,23,C,LED Light,0.0
May,23,C,Ceiling Fan,1.0
May,23,Misc,Hospital,0.7
May,23,Misc,Street Light,50.0
May,23,Misc,Cold Storage,1.0
May,23,Misc,School,0.0
May,23,Misc,Others,0.2
June_1_15,0,A,LED Light,2.0
June_1_15,0,A,Ceiling Fan,3.0
June_1_15,0,A,Television,0.0
June_1_15,0,A,Iron,0.0
June_1_15,0,A,Refrigerator,0.25
June_1_15,0,A,Washing Machine,0.0
June_1_15,0,B,LED Light,1.0
June_1_15,0,B,Ceiling Fan,2.0
June_1_15,0,B,Television,0.0
June_1_15,0,B,Iron,0.0
June_1_15,0,B,Refrigerator,0.25
June_1_15,0,C,LED Light,0.0
June_1_15,0,C,Ceiling Fan,1.0
June_1_15,0,Misc,Hospital,0.7
June_1_15,0,Misc,Street Light,35.0
June_1_15,0,Misc,Cold Storage,2.0
June_1_15,0,Misc,School,0.0
June_1_15,0,Misc,Others,0.2
June_1_15,1,A,LED Light,2.0
June_1_15,1,A,Ceiling Fan,3.0
June_1_15,1,A,Television,0.0
June_1_15,1,A,Iron,0.0
June_1_15,1,A,Refrigerator,0.25
June_1_15,1,A,Washing Machine,0.0
June_1_15,1,B,LED Light,1.0
June_1_15,1,B,Ceiling Fan,2.0
June_1_15,1,B,Television,0.0
June_1_15,1,B,Iron,0.0
June_1_15,1,B,Refrigerator,0.25
June_1_15,1,C,LED Light,0.0
June_1_15,1,C,Ceiling Fan,1.0
June_1_15,1,Misc,Hospital,0.7
June_1_15,1,Misc,Street Light,35.0
June_1_15,1,Misc,Cold Storage,2.0
June_1_15,1,Misc,School,0.0
June_1_15,1,Misc,Others,0.2
June_1_15,2,A,LED Light,2.0
June_1_15,2,A,Ceiling Fan,3.0
June_1_15,2,A,Television,0.0
June_1_15,2,A,Iron,0.0
June_1_15,2,A,Refrigerator,0.25
June_1_15,2,A,Washing Machine,0.0
June_1_15,2,B,LED Light,1.0
June_1_15,2,B,Ceiling Fan,2.0
June_1_15,2,B,Television,0.0
June_1_15,2,B,Iron,0.0
June_1_15,2,B,Refrigerator,0.25
June_1_15,2,C,LED Light,0.0
June_1_15,2,C,Ceiling Fan,1.0
June_1_15,2,Misc,Hospital,0.7
June_1_15,2,Misc,Street Light,35.0
June_1_15,2,Misc,Cold Storage,2.0
June_1_15,2,Misc,School,0.0
June_1_15,2,Misc,Others,0.2
June_1_15,3,A,LED Light,1.0
June_1_15,3,A,Ceiling Fan,2.0
June_1_15,3,A,Television,0.0
June_1_15,3,A,Iron,0.0
June_1_15,3,A,Refrigerator,0.25
June_1_15,3,A,Washing Machine,0.0
June_1_15,3,B,LED Light,0.0
June_1_15,3,B,Ceiling Fan,2.0
June_1_15,3,B,Television,0.0
June_1_15,3,B,Iron,0.0
June_1_15,3,B,Refrigerator,0.25
June_1_15,3,C,LED Light,0.0
June_1_15,3,C,Ceiling Fan,1.0
June_1_15,3,Misc,Hospital,0.7
June_1_15,3,Misc,Street Light,20.0
June_1_15,3,Misc,Cold Storage,4.0
June_1_15,3,Misc,School,0.0
June_1_15,3,Misc,Others,0.2
June_1_15,4,A,LED Light,1.0
June_1_15,4,A,Ceiling Fan,2.0
June_1_15,4,A,Television,0.0
June_1_15,4,A,Iron,0.0
June_1_15,4,A,Refrigerator,0.25
June_1_15,4,A,Washing Machine,0.0
June_1_15,4,B,LED Light,0.0
June_1_15,4,B,Ceiling Fan,1.0
June_1_15,4,B,Television,0.0
June_1_15,4,B,Iron,0.0
June_1_15,4,B,Refrigerator,0.25
June_1_15,4,C,LED Light,0.0
June_1_15,4,C,Ceiling Fan,1.0
June_1_15,4,Misc,Hospital,0.7
June_1_15,4,Misc,Street Light,10.0
June_1_15,4,Misc,Cold Storage,4.0
June_1_15,4,Misc,School,0.0
June_1_15,4,Misc,Others,0.2
June_1_15,5,A,LED Light,1.0
June_1_15,5,A,Ceiling Fan,3.0
June_1_15,5,A,Television,0.0
June_1_15,5,A,Iron,0.0
June_1_15,5,A,Refrigerator,0.25
June_1_15,5,A,Washing Machine,0.0
June_1_15,5,B,LED Light,0.0
June_1_15,5,B,Ceiling Fan,1.0
June_1_15,5,B,Television,0.0
June_1_15,5,B,Iron,0.0
June_1_15,5,B,Refrigerator,0.25
June_1_15,5,C,LED Light,1.0
June_1_15,5,C,Ceiling Fan,1.0
June_1_15,5,Misc,Hospital,0.7
June_1_15,5,Misc,Street Light,5.0
June_1_15,5,Misc,Cold Storage,4.0
June_1_15,5,Misc,School,0.0
June_1_15,5,Misc,Others,0.2
June_1_15,6,A,LED Light,1.0
June_1_15,6,A,Ceiling Fan,2.0
June_1_15,6,A,Television,1.0
June_1_15,6,A,Iron,0.0
June_1_15,6,A,Refrigerator,0.25
June_1_15,6,A,Washing Machine,0.0
June_1_15,6,B,LED Light,0.0
June_1_15,6,B,Ceiling Fan,1.0
June_1_15,6,B,Television,1.0
June_1_15,6,B,Iron,0.0
June_1_15,6,B,Refrigerator,0.25
June_1_15,6,C,LED Light,0.0
June_1_15,6,C,Ceiling Fan,1.0
June_1_15,6,Misc,Hospital,0.7
June_1_15,6,Misc,Street Light,0.0
June_1_15,6,Misc,Cold Storage,4.0
June_1_15,6,Misc,School,1.0
June_1_15,6,Misc,Others,0.2
June_1_15,7,A,LED Light,1.0
June_1_15,7,A,Ceiling Fan,2.0
June_1_15,7,A,Television,1.0
June_1_15,7,A,Iron,0.0
June_1_15,7,A,Refrigerator,0.25
June_1_15,7,A,Washing Machine,0.0
June_1_15,7,B,LED Light,0.0
June_1_15,7,B,Ceiling Fan,1.0
June_1_15,7,B,Television,1.0
June_1_15,7,B,Iron,0.0
June_1_15,7,B,Refrigerator,0.25
June_1_15,7,C,LED Light,0.0
June_1_15,7,C,Ceiling Fan,1.0
June_1_15,7,Misc,Hospital,1.0
June_1_15,7,Misc,Street Light,0.0
June_1_15,7,Misc,Cold Storage,4.0
June_1_15,7,Misc,School,1.0
June_1_15,7,Misc,Others,1.0
June_1_15,8,A,LED Light,2.0
June_1_15,8,A,Ceiling Fan,2.0
June_1_15,8,A,Television,1.0
June_1_15,8,A,Iron,0.0
June_1_15,8,A,Refrigerator,0.25
June_1_15,8,A,Washing Machine,0.0
June_1_15,8,B,LED Light,1.0
June_1_15,8,B,Ceiling Fan,2.0
June_1_15,8,B,Television,1.0
June_1_15,8,B,Iron,0.0
June_1_15,8,B,Refrigerator,0.25
June_1_15,8,C,LED Light,0.0
June_1_15,8,C,Ceiling Fan,1.0
June_1_15,8,Misc,Hospital,1.0
June_1_15,8,Misc,Street Light,0.0
June_1_15,8,Misc,Cold Storage,4.0
June_1_15,8,Misc,School,1.0
June_1_15,8,Misc,Others,1.0
June_1_15,9,A,LED Light,2.0
June_1_15,9,A,Ceiling Fan,2.0
June_1_15,9,A,Television,1.0
June_1_15,9,A,Iron,0.0
June_1_15,9,A,Refrigerator,0.25
June_1_15,9,A,Washing Machine,0.0
June_1_15,9,B,LED Light,1.0
June_1_15,9,B,Ceiling Fan,2.0
June_1_15,9,B,Television,1.0
June_1_15,9,B,Iron,0.0
June_1_15,9,B,Refrigerator,0.25
June_1_15,9,C,LED Light,0.0
June_1_15,9,C,Ceiling Fan,1.0
June_1_15,9,Misc,Hospital,1.0
June_1_15,9,Misc,Street Light,0.0
June_1_15,9,Misc,Cold Storage,4.0
June_1_15,9,Misc,School,1.0
June_1_15,9,Misc,Others,1.0
June_1_15,10,A,LED Light,2.0
June_1_15,10,A,Ceiling Fan,2.0
June_1_15,10,A,Television,1.0
June_1_15,10,A,Iron,0.0
June_1_15,10,A,Refrigerator,0.25
June_1_15,10,A,Washing Machine,0.0
June_1_15,10,B,LED Light,1.0
June_1_15,10,B,Ceiling Fan,2.0
June_1_15,10,B,Television,1.0
June_1_15,10,B,Iron,0.0
June_1_15,10,B,Refrigerator,0.25
June_1_15,10,C,LED Light,1.0
June_1_15,10,C,Ceiling Fan,1.0
June_1_15,10,Misc,Hospital,1.0
June_1_15,10,Misc,Street Light,0.0
June_1_15,10,Misc,Cold Storage,4.0
June_1_15,10,Misc,School,1.0
June_1_15,10,Misc,Others,1.0
June_1_15,11,A,LED Light,2.0
June_1_15,11,A,Ceiling Fan,2.0
June_1_15,11,A,Television,1.0
June_1_15,11,A,Iron,0.0
June_1_15,11,A,Refrigerator,0.25
June_1_15,11,A,Washing Machine,0.0
June_1_15,11,B,LED Light,1.0
June_1_15,11,B,Ceiling Fan,2.0
June_1_15,11,B,Television,1.0
June_1_15,11,B,Iron,0.0
June_1_15,11,B,Refrigerator,0.25
June_1_15,11,C,LED Light,1.0
June_1_15,11,C,Ceiling Fan,1.0
June_1_15,11,Misc,Hospital,1.0
June_1_15,11,Misc,Street Light,0.0
June_1_15,11,Misc,Cold Storage,4.0
June_1_15,11,Misc,School,0.75
June_1_15,11,Misc,Others,1.0
June_1_15,12,A,LED Light,2.0
June_1_15,12,A,Ceiling Fan,3.0
June_1_15,12,A,Television,0.0
June_1_15,12,A,Iron,0.0
June_1_15,12,A,Refrigerator,0.25
June_1_15,12,A,Washing Machine,0.0
June_1_15,12,B,LED Light,1.0
June_1_15,12,B,Ceiling Fan,2.0
June_1_15,12,B,Television,0.0
June_1_15,12,B,Iron,0.0
June_1_15,12,B,Refrigerator,0.25
June_1_15,12,C,LED Light,1.0
June_1_15,12,C,Ceiling Fan,1.0
June_1_15,12,Misc,Hospital,1.0
June_1_15,12,Misc,Street Light,0.0
June_1_15,12,Misc,Cold Storage,4.0
June_1_15,12,Misc,School,1.0
June_1_15,12,Misc,Others,1.0
June_1_15,13,A,LED Light,2.0
June_1_15,13,A,Ceiling Fan,3.0
June_1_15,13,A,Television,0.0
June_1_15,13,A,Iron,0.0
June_1_15,13,A,Refrigerator,0.25
June_1_15,13,A,Washing Machine,0.0
June_1_15,13,B,LED Light,1.0
June_1_15,13,B,Ceiling Fan,2.0
June_1_15,13,B,Television,0.0
June_1_15,13,B,Iron,0.0
June_1_15,13,B,Refrigerator,0.25
June_1_15,13,C,LED Light,1.0
June_1_15,13,C,Ceiling Fan,1.0
June_1_15,13,Misc,Hospital,1.0
June_1_15,13,Misc,Street Light,0.0
June_1_15,13,Misc,Cold Storage,4.0
June_1_15,13,Misc,School,1.0
June_1_15,13,Misc,Others,1.0
June_1_15,14,A,LED Light,2.0
June_1_15,14,A,Ceiling Fan,3.0
June_1_15,14,A,Television,0.0
June_1_15,14,A,Iron,0.0
June_1_15,14,A,Refrigerator,0.25
June_1_15,14,A,Washing Machine,0.0
June_1_15,14,B,LED Light,1.0
